==============================================================
FREQ = 0.001KHz

VOLTAGES OF ELEMENTS
R1 0.224 0
R2 0.223 0
R3 0.553 0
R3 0.553 0
R3 0.553 0
R3 0.553 0
R4 0.224 180
R4 0.224 180
R4 0.224 180
R4 0.224 180
R4 0.447 0
R4 0.447 0
R5 0.447 180
R6 0.776 0
R1 0.05 0
R2 0.073 180
R3 0 0
R3 0 0
R3 0 0
R3 0 0
R4 0 180
R4 0.05 180
R4 0.05 180
R4 0.05 180
R4 0.397 0
R4 0.296 0
R5 0.151 180
R6 0 180
R6 0 0
R6 0 180
R6 0 180
R6 0 0
R6 0.333 0
R6 0.11 0
R6 0.443 180
R6 0 180
R6 0 0

VOLTAGE OF ACTIVE SOURCES
V1 1 0
V1 1 0

CURRENT OF ELEMENTS
R1 0.112 0
R2 0.025 0
R3 0.069 0
R3 0.069 0
R3 0.069 0
R3 0.069 0
R4 0.022 180
R4 0.022 180
R4 0.022 180
R4 0.022 180
R4 0.045 0
R4 0.045 0
R5 0.112 180
R6 0.129 0
R1 0.025 0
R2 0.008 180
R3 0 0
R3 0 0
R3 0 0
R3 0 0
R4 0 180
R4 0.005 180
R4 0.005 180
R4 0.005 180
R4 0.04 0
R4 0.03 0
R5 0.038 180
R6 0 180
R6 0 0
R6 0 180
R6 0 180
R6 0 0
R6 0.055 0
R6 0.018 0
R6 0.074 180
R6 0 180
R6 0 0

CURRENT OF ACTIVE SOURCES
V1 0.455 0
V1 0.455 0
==============================================================
FREQ = 0.159KHz

VOLTAGES OF ELEMENTS
R1 15.105 0
R2 2.874 180
R3 12.232 180
R3 12.232 180
R3 12.232 180
R3 12.232 180
R4 24.895 0
R4 24.895 0
R4 24.895 0
R4 24.895 0
R4 12.232 0
R4 12.232 0
R5 27.768 0
R6 15.105 180
R1 14.692 0
R2 12.874 0
R3 0 0
R3 0 180
R3 0 180
R3 0 180
R4 10 0
R4 25.308 0
R4 25.308 0
R4 25.308 0
R4 2.461 180
R4 15.747 180
R5 12.021 0
R6 6 0
R6 0 180
R6 0 0
R6 0 0
R6 0 0
R6 5.993 180
R6 3.119 180
R6 9.112 0
R6 0 0
R6 0 180

VOLTAGE OF ACTIVE SOURCES
I1 16 0
V1 40 0
I1 40 0
V1 40 0

CURRENT OF ELEMENTS
R1 7.553 0
R2 0.319 180
R3 1.529 180
R3 1.529 180
R3 1.529 180
R3 1.529 180
R4 2.489 0
R4 2.489 0
R4 2.489 0
R4 2.489 0
R4 1.223 0
R4 1.223 0
R5 6.942 0
R6 2.518 180
R1 7.346 0
R2 1.43 0
R3 0 0
R3 0 180
R3 0 180
R3 0 180
R4 1 0
R4 2.531 0
R4 2.531 0
R4 2.531 0
R4 0.246 180
R4 1.575 180
R5 3.005 0
R6 1 0
R6 0 180
R6 0 0
R6 0 0
R6 0 0
R6 0.999 180
R6 0.52 180
R6 1.519 0
R6 0 0
R6 0 180

CURRENT OF ACTIVE SOURCES
I1 1 0
V1 26.497 0
I1 1 0
V1 26.497 0
==============================================================
FREQ = 0.9KHz

VOLTAGES OF ELEMENTS
R1 0.308 180
R2 0.645 180
R3 0.952 0
R3 0.952 0
R3 0.952 0
R3 0.952 0
R4 0.308 0
R4 0.308 0
R4 0.308 0
R4 0.308 0
R4 0.952 180
R4 0.952 180
R5 0.952 0
R6 0.308 0
R1 0.106 180
R2 2.142 180
R3 0 0
R3 0 0
R3 0 0
R3 0 0
R4 0 0
R4 0.106 0
R4 0.106 0
R4 0.106 0
R4 0.847 180
R4 1.497 0
R5 2.449 0
R6 0 0
R6 0 180
R6 0 0
R6 0 0
R6 0 180
R6 0.112 180
R6 0.532 0
R6 0.42 180
R6 0 0
R6 0 0

VOLTAGE OF ACTIVE SOURCES
I1 2.449 0
I1 0.952 0

CURRENT OF ELEMENTS
R1 0.154 180
R2 0.072 180
R3 0.119 0
R3 0.119 0
R3 0.119 0
R3 0.119 0
R4 0.031 0
R4 0.031 0
R4 0.031 0
R4 0.031 0
R4 0.095 180
R4 0.095 180
R5 0.238 0
R6 0.051 0
R1 0.053 180
R2 0.238 180
R3 0 0
R3 0 0
R3 0 0
R3 0 0
R4 0 0
R4 0.011 0
R4 0.011 0
R4 0.011 0
R4 0.085 180
R4 0.15 0
R5 0.612 0
R6 0 0
R6 0 180
R6 0 0
R6 0 0
R6 0 180
R6 0.019 180
R6 0.089 0
R6 0.07 180
R6 0 0
R6 0 0

CURRENT OF ACTIVE SOURCES
I1 1 0
I1 1 0
